A	'ə	 ə 
abadessa	ə β ə ð 'ɛ s ə	 ə β ə ð 'e s ə 
abandonament	ə β ə n d u n ə m 'e n	 ə β ə n d 'ɔ n ə m 'e n 
abandonis	ə β ə n d 'ɔ n i s	 ə β ə n d 'o n i s 
abastament	ə β ə s t ə m 'e n	 ə β 'a s t ə m 'e n 
abdomen	ə b d 'o m ə n	 ə b d 'ɔ m ə n 
abell	ə β 'ɛ ʎ	 ə β 'e ʎ 
abella	ə β 'ɛ ʎ ə	 ə β 'e ʎ ə 
Abella	ə β 'ɛ ʎ ə	 ə β 'e ʎ ə 
abelles	ə β 'ɛ ʎ ə s	 ə β 'e ʎ ə s 
ablació	ə β l ə s i 'o	 ə b b l ə s i 'o 
abonament	ə β u n ə m 'e n	 ə β 'ɔ n ə m 'e n 
abreviatura	ə β ɾ ə β i ə t 'u ɾ ə	 ə β ɾ ə β 'i ə t 'u ɾ ə 
abrilenc	ə β ɾ i l 'ɛ ŋ	 ə β ɾ i l 'ɛ n s 
abscés	ə p s 'e s	 ə p s k 'e s 
absolt	ə p s 'ɔ l t	 ə p s 'o l t 
abundantment	ə β u n d ə m m 'e n	 ə β u n d 'a n ə m 'e n 
acabament	ə k ə β ə m 'e n	 ə k 'a β ə m 'e n 
àcar	'a k ə	 'a k ə r 
acer	ə s 'e r	 ə k 'e 
aclariment	ə k l ə ɾ i m 'e n	 ə k l 'a ɾ i m 'e n 
acoblada	ə k u b b l 'a ð ə	 ə k u β l 'a ð ə 
acoblades	ə k u b b l 'a ð ə s	 ə k u β l 'a ð ə s 
acolliment	ə k u ʎ i m 'e n	 ə k 'ɔ ʎ i m 'e n 
acomiadament	ə k u m i ə ð ə m 'e n	 ə k u m i 'a ð ə m 'e n 
acompanyament	ə k u m p ə ɲ ə m 'e n	 ə k u m p 'a ɲ ə m 'e n 
acord	ə k 'ɔ r t	 ə k 'o r t 
Açores	ə s 'ɔ ɾ ə s	 ə s 'o ɾ ə s 
acórrer	ə k 'o r ə	 ə k 'o r 'e 
acostament	ə k u s t ə m 'e n	 ə k 'ɔ s t ə m 'e n 
actriu	ə k t ɾ 'i w	 ə k t ɾ 'i u 
adequada	ə ð ə k w 'a ð ə	 ə ð ə k 'a ð ə 
adequades	ə ð ə k w 'a ð ə s	 ə ð ə k 'a ð ə s 
adequat	ə ð ə k w 'a t	 ə ð ə k 'a t 
adequats	ə ð ə k w 'a t s	 ə ð ə k 'a t s 
adesiara	ə ð ə z i 'a ɾ ə	 'a ð ə z i 'a ɾ ə 
adhesiu	ə ð ə z 'i w	 ə ð 'i ə z 'i w 
adob	ə ð 'o p	 ə ð 'o 
adoctrinament	ə ð u k t ɾ i n ə m 'e n	 ə ð u k t ɾ 'i n ə m 'e n 
adolescent	ə ð u l ə s 'e n	 ə ð 'o l ə s 'e n 
adolescents	ə ð u l ə s 'e n s	 ə ð 'o l ə s 'e n s 
adúlter	ə ð 'u l t ə r	 ə ð 'u l t 'e 
adveniment	ə d b ə n i m 'e n	 ə d b 'ɛ n i m 'e n 
advers	ə d b 'ɛ r s	 ə d b 'e s 
advertiment	ə d b ə r t i m 'e n	 ə d b 'ɛ r t i m 'e n 
aerobi	ə e ɾ 'ɔ β i	 ə ə ɾ 'ɔ β i 
aeròbic	ə e ɾ 'ɔ β i k	 ə ə ɾ 'ɔ β i k 
aeròmetre	ə e ɾ 'ɔ m ə t ɾ ə	 ə ə ɾ 'ɔ m ə t ɾ ə 
afaiçonar	ə f ə j s u n 'a	 ə f 'a j s u n 'a 
afaitada	ə f ə j t 'a ð ə	 ə f ə i t 'a ð ə 
afaitades	ə f ə j t 'a ð ə s	 ə f ə i t 'a ð ə s 
afaitar	ə f ə j t 'a	 ə f ə i t 'a 
afaitat	ə f ə j t 'a t	 ə f ə i t 'a t 
afaitats	ə f ə j t 'a t s	 ə f ə i t 'a t s 
afecta	ə f 'e k t ə	 ə f 'ɛ k t ə 
afecte	ə f 'e k t ə	 ə f 'ɛ k t ə 
afectes	ə f 'e k t ə s	 ə f 'ɛ k t ə s 
afer	ə f 'e r	 ə f 'e 
Afganistan	ə v ɣ ə n i s t 'a n	 ə f ɣ ə n i s t 'a n 
afiblar	ə f i b b l 'a	 ə f 'i b b l 'a 
aflora	ə f l 'ɔ ɾ ə	 ə f l 'o ɾ ə 
aflores	ə f l 'ɔ ɾ ə s	 ə f l 'o ɾ ə s 
afores	ə f 'ɔ ɾ ə s	 ə f 'o ɾ ə s 
afrikaans	ə f ɾ i k ə 'a n s	 ə f ɾ i k 'a 'a n s 
afronta	ə f ɾ 'o n t ə	 ə f ɾ 'ɔ n t ə 
afusellament	ə f u z ə ʎ ə m 'e n	 ə f u z 'ɛ ʎ ə m 'e n 
agenda	ə ʒ 'e n d ə	 ə ʒ 'ɛ n d ə 
agermanament	ə ʒ ə r m ə n ə m 'e n	 ə ʒ ə r m 'a n ə m 'e n 
agraïment	ə ɣ ɾ ə i m 'e n	 ə ɣ ɾ 'a i m 'e n 
agricultura	ə ɣ ɾ i k u l t 'u ɾ ə	 ə ɣ ɾ i k 'u l t 'u ɾ ə 
aguaitada	ə ɣ w ə j t 'a ð ə	 ə ɣ w ə i t 'a ð ə 
aguaitades	ə ɣ w ə j t 'a ð ə s	 ə ɣ w ə i t 'a ð ə s 
aguaitant	ə ɣ w ə j t 'a n	 ə ɣ w ə i t 'a n 
aguaitar	ə ɣ w ə j t 'a	 ə ɣ w ə i t 'a 
aguaitat	ə ɣ w ə j t 'a t	 ə ɣ w ə i t 'a t 
aguaitats	ə ɣ w ə j t 'a t s	 ə ɣ w ə i t 'a t s 
Àgueda	'a ɣ ə ð ə	 'a ɣ u ə ð ə 
àguila	'a ɣ i l ə	 'a ɣ u i l ə 
aguilenc	ə ɣ i l 'ɛ ŋ	 ə ɣ i l 'ɛ n s 
àguiles	'a ɣ i l ə s	 'a ɣ u i l ə s 
agullat	ə ɣ u ʎ 'a t	 ə ɣ 'u ʎ 'a t 
agulleta	ə ɣ u ʎ 'ɛ t ə	 ə ɣ 'u ʎ 'ɛ t ə 
ai	'a j	 'a i 
aidada	ə j ð 'a ð ə	 ə i ð 'a ð ə 
aidades	ə j ð 'a ð ə s	 ə i ð 'a ð ə s 
aidant	ə j ð 'a n	 ə i ð 'a n 
aidar	ə j ð 'a	 ə i ð 'a 
aidat	ə j ð 'a t	 ə i ð 'a t 
aidats	ə j ð 'a t s	 ə i ð 'a t s 
aiguabarreig	ə j ɣ w ə β ə r 'ɛ t ʃ	 ə j ɣ w ə β ə r 'ɛ ʃ 
aiguafort	ə j ɣ w ə f 'ɔ r t	 ə j ɣ w ə f 'o r t 
aigualir	ə j ɣ w ə l 'i	 ə j ɣ u ə l 'i 
aiguaneu	ə j ɣ w ə n 'e w	 ə j ɣ w ə n 'ɛ w 
aigüera	ə j ɣ w 'e ɾ ə	 'a j ə w 'e ɾ ə 
aigüerola	ə j ɣ w ə ɾ 'ɔ l ə	 'a j ɣ w ə ɾ 'ɔ l ə 
aigüeroles	ə j ɣ w ə ɾ 'ɔ l ə s	 'a j ɣ w ə ɾ 'ɔ l ə s 
