A	'ə	ə
aalenià	ə ə l ə n i 'a	ə e l ə n i 'a
aaleniana	ə ə l ə n i 'a n ə	ə e l ə n i 'a n ə
aalenianes	ə ə l ə n i 'a n ə s	ə e l ə n i 'a n ə s
aalenians	ə ə l ə n i 'a n s	ə e l ə n i 'a n s
accadi	ə k k 'a ð i	ə t s 'a ð i
açò	ə s 'o	a s 'o
aconseguits	ə k o n s ə ɣ 'i t s	ə k o n s ə ɣ 'i s
actuats	ə t t u 'a t s	ə t t u 'a s
adesiara	ə ð ə z i 'a ɾ ə	a ð ə z i 'a ɾ ə
adscripció	ə s k ɾ i t s i 'o	ə t s k ɾ i t s i 'o
adscrites	ə  t s k ɾ 'i t ə s	ə t s k ɾ 'i t ə s
afaitar	ə f ə j t 'a	ə f ə i t 'a
afaitat	ə f ə j t 'a t	ə f ə i t 'a t
afaitats	ə f ə j t 'a t s	ə f ə i t 'a t s
afectuoses	ə f ə t t u 'o z ə s	ə f ə t t u 'o s ə s
Afganistan	ə v ɣ ə n i s t 'a n	ə f ɣ ə n i s t 'a n
agafamosquits	ə ɣ ə f ə m o s k 'i t s	ə ɣ ə f ə m o s k 'i s
agraïts	ə ɣ ɾ ə 'i t s	ə ɣ ɾ ə 'i s
agúen	ə ɣ 'u ə n	ə ɣ ə n
agúes	ə ɣ 'u ə s	ə ɣ ə s
aidada	ə j ð 'a ð ə	ə i ð 'a ð ə
aidades	ə j ð 'a ð ə s	ə i ð 'a ð ə s
aidant	ə j ð 'a n t	ə i ð 'a n t
aidar	ə j ð 'a	ə i ð 'a
aidat	ə j ð 'a t	ə i ð 'a t
aidats	ə j ð 'a t s	ə i ð 'a t s
Aina	'a j n ə	'a i n ə
albeca	ə l β 'e k ə	ə l β 'ə k ə
àlber	'a l β ə	'a l β e 
alçament	ə l s ə m 'e n t	a l s ə m 'e n t
alcohol	ə l k o 'o l	ə l k o 'a l
aleatori	ə l e ə t 'o ɾ i	ə l ə ə t 'o ɾ i
alegre	ə l 'e ɣ ɾ ə	ə l 'ə ɣ ɾ ə
algebraic	ə l ʒ ə β ɾ 'a j k	ə l ʒ ə β ɾ 'a i k
aliment	ə l i m 'e n t	a l i m 'e n t
alineada	ə l i n e 'a ð ə	ə l i n ə 'a ð ə
alineament	ə l i n e ə m 'e n t	ə l i n ə ə m 'e n t
alinear	ə l i n e 'a	ə l i n ə 'a
alineat	ə l i n e 'a t	ə l i n ə 'a t
alineats	ə l i n e 'a t s	ə l i n ə 'a s
almirallessa	ə l m i ɾ ə ʎ 'ə s ə	ə l m i ɾ ə ʎ 'e s ə
Altai	ə l t 'a j	ə l t 'a i
altaic	ə l t 'a j k	ə l t 'a i k
altrament	ə l t ɾ ə m 'e n t	a l t ɾ ə m 'e n t
amainada	ə m ə j n 'a ð ə	ə m ə i n 'a ð ə
amainades	ə m ə j n 'a ð ə s	ə m ə i n 'a ð ə s
amainant	ə m ə j n 'a n t	ə m ə i n 'a n t
amainar	ə m ə j n 'a	ə m ə i n 'a
amainat	ə m ə j n 'a t	ə m ə i n 'a t
amainats	ə m ə j n 'a t s	ə m ə i n 'a t s
amants	ə m 'a n s	ə m 'a n t s
amarg	ə m 'a ɾ k	ə m 'a ɾ ə
ambigu	ə m b 'i ɣ u	ə m b 'i ɣ
ambigú	ə m b i ɣ 'u	ə m b 'i tʃ
amistoses	ə m i s t 'o z ə s	ə m i s t 'o s ə s
anàrquica	ə n 'a ɾ k i k ə	ə n ə ɾ k 'i k ə
anàrquics	ə n 'a ɾ k i t s	ə n ə ɾ k 'i t s
àngels	'a n ʒ ə l s	a n ʒ 'e l s
Àngels	'a n ʒ ə l s	a n ʒ 'e l s
Ànglia	'a ŋ g l i ə	a ŋ g l 'i ə
angoixa	ə ŋ g 'o ʃ ə	ə ŋ g o 'i ʃ ə
angoixada	ə ŋ g o ʃ 'a ð ə	ə ŋ g o i ʃ 'a ð ə
